,t_AB,t_AS,_BLS,t_HB,_HUE,t_RB,t_SB,SENN,_SHB,t_ST
Flare-F,0.0811,0.1082,0.1055,0.1546,0.1575,0.1435,0.1096,0.1754,0.1183,0.1145
Yeast5,0.5381,0.5742,0.5319,0.4303,0.4354,0.496,0.5422,0.605,0.5808,0.5924
CarvGood,0.9709,0.9704,0.9857,0.7209,0.7153,0.8209,0.9852,0.9295,0.9857,0.9709
CarGood,0.9857,0.8372,0.7287,0.4802,0.4827,0.6979,0.801,0.7217,0.8697,0.7837
Yeast5-ERL,0.9,0.0,0.7,0.5533,0.54,0.8667,0.9,0.9,0.9,0.9
Glass,0.8047,0.7822,0.8005,0.7102,0.7124,0.8663,0.7919,0.7997,0.7933,0.813
ILPD,0.3843,0.3807,0.3763,0.4179,0.4239,0.4002,0.3882,0.4256,0.3937,0.3915
Seed,0.8596,0.9464,0.9331,0.9544,0.9639,0.9638,0.9676,0.9676,0.9676,0.9581
Wine,0.96,0.9509,0.9711,0.9455,0.9273,0.9818,0.9502,0.9171,0.9667,0.9436
Breast Cancer Wisconsin,0.8812,0.8787,0.8699,0.9007,0.8903,0.9433,0.8815,0.8786,0.9004,0.8957
Diabetes,0.9453,0.9528,0.9528,0.9375,0.9396,0.9749,0.9426,0.8772,0.9484,0.9454
Sonar,0.6593,0.0,0.7092,0.713,0.7258,0.0,0.6673,0.6762,0.7314,0.673
Epileptic Seizure Recognition,0.7606,0.6323,0.6941,0.7727,0.7705,0.0,0.6764,0.6842,0.7451,0.6869
Student_dropout,0.2537,0.2536,0.252,0.3188,0.322,0.0,0.2533,0.2656,0.2855,0.257
default of credit card clients,0.2955,0.2926,0.2925,0.3306,0.33,0.0,0.2915,0.3103,0.3233,0.2925
