Dataset,Accuracy,AUC,F1,AP,GMean
Student_dropout,0.7285,0.6644,0.4272,0.2729,0.6565
Epileptic Seizure Recognition,0.9205,0.9006,0.8139,0.6918,0.8999
default of credit card clients,0.6832,0.6333,0.4317,0.2953,0.6273
Breast Cancer Wisconsin,0.9437,0.9426,0.9249,0.8807,0.9418
Sonar,0.7643,0.7649,0.7488,0.6794,0.7608
Diabetes,0.9731,0.9716,0.9649,0.9471,0.9714
ILPD,0.6672,0.6589,0.5233,0.3927,0.6543
Glass,0.958,0.9338,0.8536,0.7489,0.9323
Seed,0.981,0.9786,0.9714,0.956,0.9784
Wine,0.9886,0.985,0.9777,0.9635,0.9847
Yeast5,0.9832,0.9253,0.7587,0.5943,0.923
CarGood,0.989,0.9565,0.8671,0.7612,0.9558
CarvGood,0.9983,0.9991,0.9783,0.959,0.9991
Yeast5-ERL,0.9993,0.9997,0.9333,0.9,0.9997
Flare-F,0.9343,0.668,0.333,0.1477,0.5963
