Dataset,Accuracy,AUC,F1,AP,GMean
Student_dropout,0.711,0.6412,0.3979,0.2539,0.6314
Epileptic Seizure Recognition,0.9133,0.8899,0.797,0.6679,0.889
default of credit card clients,0.6777,0.6271,0.424,0.2907,0.6204
Breast Cancer Wisconsin,0.9235,0.9224,0.8995,0.8418,0.922
Sonar,0.7152,0.7138,0.6915,0.6302,0.7085
Diabetes,0.9615,0.9605,0.9504,0.9216,0.9602
ILPD,0.6366,0.6228,0.4811,0.3614,0.6191
Glass,0.9378,0.9028,0.791,0.6678,0.8982
Seed,0.9726,0.9705,0.9592,0.9345,0.9701
Wine,0.9581,0.9537,0.925,0.8785,0.9526
Yeast5,0.9775,0.896,0.6853,0.5013,0.8891
CarGood,0.9818,0.9262,0.7968,0.6591,0.9226
CarvGood,0.9966,0.9856,0.9559,0.9189,0.9852
Yeast5-ERL,0.6584,0.6044,0.4677,0.4337,0.5495
Flare-F,0.921,0.616,0.2213,0.0955,0.4842
