Dataset,Accuracy,AUC,F1,AP,GMean
Student_dropout,0.008,0.009,0.0112,0.007,0.01
Epileptic Seizure Recognition,0.003,0.0047,0.0069,0.0097,0.0048
default of credit card clients,0.0026,0.0029,0.0036,0.0021,0.0033
Breast Cancer Wisconsin,0.0111,0.0119,0.0144,0.021,0.0119
Sonar,0.0243,0.0254,0.0321,0.0246,0.0264
Diabetes,0.0085,0.0083,0.0108,0.0179,0.0083
ILPD,0.013,0.0206,0.026,0.0158,0.0218
Glass,0.0123,0.0156,0.0335,0.0488,0.0162
Seed,0.007,0.0072,0.0101,0.0169,0.0073
Wine,0.0131,0.0154,0.0228,0.0355,0.0158
Yeast5,0.0024,0.0187,0.03,0.0404,0.0214
CarGood,0.003,0.0169,0.0277,0.041,0.0189
CarvGood,0.0012,0.0125,0.0152,0.0269,0.0131
Yeast5-ERL,0.2687,0.3071,0.3091,0.2929,0.3512
Flare-F,0.0065,0.0355,0.0532,0.0234,0.084
