Dataset,Avg Time per run (ms),Total Time (ms),Avg Total Time (ms)
Student_dropout,38180.62,763621.98,38181.1
Epileptic Seizure Recognition,404528.85,8090590.77,404529.54
default of credit card clients,1552669.63,31053418.16,1552670.91
Breast Cancer Wisconsin,1227.67,24572.98,1228.65
Sonar,458.09,9166.84,458.34
Diabetes,23872.21,477450.99,23872.55
ILPD,2897.98,57969.93,2898.5
Glass,427.4,8557.09,427.85
Seed,1013.13,20272.96,1013.65
Wine,731.84,14649.65,732.48
Yeast5,1200.26,24015.03,1200.75
CarGood,1776.71,35537.73,1776.89
CarvGood,1687.75,33758.98,1687.95
Yeast5-ERL,315.0,6307.0,315.35
Flare-F,1397.58,27963.77,1398.19
