Dataset,Method,Std_F1,Std_AP,Std_Gmean
Breast Cancer Wisconsin,adaboost,0.0103,0.0157,0.0082
Breast Cancer Wisconsin,adasyn,0.0102,0.0151,0.0087
Breast Cancer Wisconsin,borderlinesmote,0.0096,0.0153,0.0075
Breast Cancer Wisconsin,rusboost,0.0064,0.0099,0.0051
Breast Cancer Wisconsin,smoteenn,0.0101,0.0149,0.0083
Breast Cancer Wisconsin,smotetomek,0.0133,0.019,0.0109
CarGood,adaboost,0.0108,0.0196,0.0082
CarGood,adasyn,0.0367,0.0572,0.0247
CarGood,borderlinesmote,0.0369,0.0588,0.0246
CarGood,rusboost,0.0238,0.0339,0.0062
CarGood,smoteenn,0.0349,0.049,0.0201
CarGood,smotetomek,0.0276,0.0443,0.0189
CarvGood,adaboost,0.0185,0.0325,0.0129
CarvGood,adasyn,0.0138,0.0252,0.01
CarvGood,borderlinesmote,0.0191,0.0336,0.0132
CarvGood,rusboost,0.0168,0.0266,0.0009
CarvGood,smoteenn,0.0267,0.0476,0.0149
CarvGood,smotetomek,0.023,0.0406,0.0142
default of credit card clients,adaboost,0.0038,0.002,0.0034
default of credit card clients,adasyn,0.0041,0.0023,0.0037
default of credit card clients,borderlinesmote,0.0044,0.0026,0.0035
default of credit card clients,HUE,0.0013,0.0008,0.0025
default of credit card clients,smoteenn,0.003,0.0019,0.0027
default of credit card clients,smotetomek,0.0038,0.0023,0.0031
Diabetes,adaboost,0.0073,0.0129,0.0054
Diabetes,adasyn,0.007,0.0118,0.0056
Diabetes,borderlinesmote,0.0091,0.0152,0.0072
Diabetes,rusboost,0.0062,0.0107,0.0047
Diabetes,smoteenn,0.013,0.0203,0.0111
Diabetes,smotetomek,0.0087,0.0135,0.0071
Epileptic Seizure Recognition,adaboost,0.0052,0.0075,0.0041
Epileptic Seizure Recognition,adasyn,0.0055,0.0074,0.0037
Epileptic Seizure Recognition,borderlinesmote,0.0044,0.0065,0.0026
Epileptic Seizure Recognition,smoteenn,0.0082,0.0116,0.0055
Epileptic Seizure Recognition,smotetomek,0.0045,0.0063,0.0032
Flare-F,adaboost,0.0498,0.0207,0.0969
Flare-F,adasyn,0.0354,0.0138,0.0645
Flare-F,borderlinesmote,0.052,0.022,0.089
Flare-F,rusboost,0.0112,0.0068,0.0139
Flare-F,smoteenn,0.0495,0.0346,0.0526
Flare-F,smotetomek,0.0442,0.0146,0.079
Glass,adaboost,0.1851,0.1687,0.2057
Glass,adasyn,0.0321,0.0477,0.0183
Glass,borderlinesmote,0.0333,0.0502,0.0143
Glass,rusboost,0.0346,0.0512,0.0178
Glass,smoteenn,0.0288,0.0444,0.0175
Glass,smotetomek,0.0329,0.036,0.0266
